target_gene,protein_name,localization,liabilities,cancer_relevance,binder_accessible,priority_hint,evidence_pmids
CDCP1,CUB domain-containing protein 1,surface,Proteolytic processing complicates epitope choice; Heterogeneous expression; Limited normal-tissue toxicity profile defined,"Up-regulated in breast, ovarian, oral squamous, pancreatic, and lung carcinomas with roles in EMT, anoikis resistance, and metastasis. Indocyanine-green dual antibody co-targeting CDCP1 and mesothelin used for fluorescence-guided surgery in PDAC preclinical models.",Yes,4,PMID:41707653; PMID:41553332; PMID:41975113
CDH17,Cadherin-17 (LI-cadherin),surface,On-target normal intestinal expression (lateral membrane); requires liver-sparing or membrane-orientation-selective binders; Antigen heterogeneity in metastases; GI toxicity risk,"Highly and lineage-restricted expression in colorectal (~95%), gastric, and pancreatic adenocarcinomas, as well as neuroendocrine tumors of GI origin, with normal expression confined to GI tract. Active CAR-T programs (PMIDs 35314826, 40435215) and ADC programs.",Yes,2,PMID:38452580; PMID:35314826; PMID:40435215; PMID:33037135; PMID:40602407
CDH3,Cadherin-3 (P-cadherin),surface,Normal skin / mammary basal expression; Bidirectional adhesion biology; Limited current clinical program,"Up-regulated in basal-like breast cancer, pancreatic, gastric, ovarian, and endometrial cancers. PF-06671008 P-cadherin x CD3 bispecific and CDH3-targeting CAR-T explored.",Yes,4,PMID:41644816; PMID:42074172; PMID:42050688
CDH6,Cadherin-6 (K-cadherin),surface,Some renal tubule and developmental expression; Deruxtecan-class ILD risk; Need for IHC patient enrichment,"Over-expressed in renal cell carcinoma (papillary subtype), ovarian cancer, cholangiocarcinoma, and thyroid. Raludotatug deruxtecan (R-DXd, anti-CDH6 ADC) under active investigation in ovarian and RCC.",Yes,2,PMID:41172996; PMID:40420099
CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,surface_and_secreted,Soluble serum CEA acts as a sink; Cross-reactivity with CEACAM family on granulocytes / colon epithelium (engineered antibodies must discriminate); Heterogeneous staining intensity,"Highly expressed in colorectal (>90%), gastric, pancreatic, and a substantial fraction of NSCLC adenocarcinomas vs. restricted apical-only expression in normal colon. Active binder modalities: tusamitamab ravtansine ADC (NSCLC), CEA-TCB bispecific (cibisatamab), CAR-T.",Yes,2,PMID:10202129; PMID:39796075; PMID:36383905
CLDN18,Claudin-18 (isoform 2 / CLDN18.2),surface,Nausea/vomiting from on-target gastric mucosa engagement; Loss of epitope availability if tight junctions re-form; Heterogeneous expression within and between tumor regions,"CLDN18.2 (the gastric-isoform splice variant of CLDN18) is expressed in ~40-80% of gastric/GEJ adenocarcinomas and ~50-70% of pancreatic adenocarcinomas, with isoform expression restricted to normal gastric mucosa in adults. First-in-class mAb zolbetuximab approved (SPOTLIGHT/GLOW); ADC and CAR-T programs progressing.",Yes,1,PMID:39098518; PMID:38188462; PMID:39637967
CLEC12A,C-type lectin domain family 12 member A (CLL-1),surface,Normal granulocyte / monocyte expression -> myelosuppression; CRS with bispecifics; Antigen loss reported in CAR-T resistance,"Surface antigen on acute myeloid leukemia blasts and leukemic stem cells (LSCs) with sparing of normal HSCs; tepoditamab (CLEC12A x CD3), CLL-1 CAR-T (KITE-222), and CLL-1 / CD33 dual CAR-T in trials.",Yes,2,PMID:41959675; PMID:41941266
CT83,Kita-Kyushu lung cancer antigen 1 (KK-LC-1),intracellular_HLA_presented,HLA restriction (predominantly HLA-A*01:01); Heterogeneous expression; TCR-T cytokine-release risk,"Cancer/testis antigen highly expressed in triple-negative breast cancer, gastric cancer, non-small-cell lung cancer, and cervical cancer. HLA-A*01:01-restricted TCR (Doran 2019) and follow-on NK/T-cell engagers in development.",Yes,4,PMID:41062176; PMID:40521510
CTAG1B,Cancer/testis antigen 1B (NY-ESO-1),intracellular_HLA_presented,Requires HLA-A*02:01 (or other defined HLA) restriction -- limits eligible patients; Antigen heterogeneity within tumors; Risk of HLA loss as escape mechanism,"Cancer/testis antigen expressed in 70-80% of synovial sarcoma, ~30% of myxoid liposarcoma, ~25-35% of melanoma, and subsets of NSCLC, ovarian, and esophageal cancer; expression in adult tissues restricted to germline. HLA-A*02:01-restricted peptides validated as TCR-T target (letetresgene autoleucel; precursor adoptive-T trials).",Yes,2,PMID:39275923; PMID:30173534; PMID:29770138; PMID:34083416
DLK1,Protein delta homolog 1,surface,Some adult adrenal and placental expression; Cleaved soluble form may act as sink; Pediatric exposure considerations,"Oncofetal surface antigen re-expressed in neuroblastoma, hepatoblastoma, rhabdomyosarcoma, small-cell lung cancer, ovarian, and adrenal cortical carcinoma. Targeted by ADCT-701 ADC in trials.",Yes,3,PMID:42023826; PMID:41327404; PMID:41811084; PMID:41771457
DLL3,Delta-like protein 3,surface,CRS and ICANS with T-cell engagers; Lineage plasticity (NEUROD1/POU2F3 subtypes) drives DLL3 loss; Variable surface vs. intracellular pool,"Expressed on the surface of >85% small cell lung cancers and high-grade neuroendocrine carcinomas, with negligible normal-tissue surface expression. Tarlatamab (DLL3 x CD3 BiTE) is FDA-approved; ADCs and CAR-T are advancing.",Yes,1,PMID:38730427; PMID:31215500; PMID:37355629; PMID:39023700; PMID:35983951; PMID:28534531
EGFR,Epidermal growth factor receptor,surface,Acneiform skin rash and diarrhea from on-target normal epithelial EGFR engagement; Hypomagnesemia; Acquired secondary mutations (C797S) under TKI pressure,"Driver oncogene in EGFR-mutant NSCLC and over-expressed in colorectal, head-and-neck squamous, and squamous lung. Multiple binder modalities clinically validated (cetuximab, panitumumab, amivantamab EGFR/MET bispecific, antibody-drug conjugates).",Yes,1,PMID:36481319
ENPP3,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,surface,Normal basophil / mast-cell expression; Soluble released ectoenzyme; Modest dynamic range in ccRCC,"Up-regulated on the surface of clear-cell renal cell carcinoma, basophils/mast cells (CD203c marker), and a subset of papillary RCC. AGS-16C3F ADC was a clinical-stage RCC program.",Yes,3,PMID:41715305; PMID:41484817
EPCAM,Epithelial cell adhesion molecule,surface,Basolateral expression on normal epithelium drives GI AEs; Antigen abundance leads to first-dose CRS for T-cell engagers; Imperfect tumor-vs-normal selectivity,"Highly expressed on essentially all epithelial carcinomas (CRC, gastric, prostate, breast, NSCLC) and on circulating tumor cells, with apical-only expression in most normal epithelia. Multiple bispecifics (catumaxomab, solitomab BiTE) and ADC programs.",Yes,2,PMID:32507912
EPHA2,Ephrin type-A receptor 2,surface,Some normal epithelial expression and homeostatic role in tissue boundaries; Bidirectional Eph/ephrin signalling complicates binder design,"Over-expressed across many epithelial cancers (esophageal, gastric, lung, breast, ovarian, glioma) and drives migration / invasion. EPHA2-targeted CAR-T and bispecifics in preclinical and early-clinical development; MEDI-547 ADC historical.",Yes,3,PMID:41977404; PMID:41993637; PMID:42031196; PMID:41983119
EPHB4,Ephrin type-B receptor 4,surface,Endothelial / vascular expression; Forward-vs-reverse signalling complexity; Limited validated clinical binder,"Over-expressed on Kaposi sarcoma, mesothelioma, head-and-neck, bladder, and prostate cancers; tumor-vascular component motivates anti-angiogenic / tumor-vasculature targeting.",Yes,4,PMID:42023984; PMID:41730417
ERBB2,Receptor tyrosine-protein kinase erbB-2,surface,Cardiotoxicity from on-target cardiomyocyte HER2 inhibition; Intratumoral and HER2-low heterogeneity; Pneumonitis with deruxtecan payloads; Acquired loss / down-regulation under ADC pressure,"Driver oncogene amplified/overexpressed in ~15-20% of breast cancers and ~10-20% of gastric/GEJ adenocarcinomas, with additional 'HER2-low' populations now therapeutically relevant; also expressed in subsets of NSCLC, biliary tract, colorectal, urothelial, and salivary cancers. Foundational antigen for binder modalities (trastuzumab, T-DM1, T-DXd, bispecifics, CAR-T).",Yes,1,PMID:39062682; PMID:38291745; PMID:31548601; PMID:39039196; PMID:37284804
ERBB3,Receptor tyrosine-protein kinase erbB-3,surface,"Interstitial lung disease with deruxtecan payload; Some expression on normal epithelia (skin, GI); Moderate dynamic range vs normal tissue","Over-expressed and a mediator of EGFR/HER2-TKI resistance in NSCLC, breast, head-and-neck, gastric, and CRC. Patritumab deruxtecan (HER3-DXd) is in pivotal development in EGFR-mutant NSCLC and HR+ breast cancer.",Yes,2,PMID:40087402; PMID:24269963
F3,Tissue factor,surface,Risk of bleeding via TF-FVIIa pathway perturbation; Ocular AEs with MMAE payload; Some expression on activated endothelium and monocytes,"Aberrantly expressed in cervical, ovarian, esophageal, pancreatic, NSCLC, and head-and-neck cancers, with limited expression on normal epithelial surface. Tisotumab vedotin (TF-targeted MMAE ADC) is approved for previously treated recurrent/metastatic cervical cancer; further indications under study.",Yes,2,PMID:35535813; PMID:35962528
FAP,Fibroblast activation protein alpha (seprase),surface,"Expression on wound-healing and fibrotic-tissue fibroblasts; Soluble FAP in plasma may act as a sink; Stromal target, so depth of penetration matters","Highly expressed on the surface of activated cancer-associated fibroblasts in essentially all epithelial solid tumors (CRC, pancreatic, breast, NSCLC, gastric), with minimal expression in healthy adult tissues. Validated PET imaging target (FAPI tracers) and active CAR-T / bispecific / RPT programs.",Yes,2,PMID:32601975; PMID:24470260; PMID:36594838
FOLH1,Glutamate carboxypeptidase II / Prostate-specific membrane antigen,surface,"Salivary, lacrimal, kidney, and small-bowel expression drives xerostomia and renal sink; Loss of PSMA in dedifferentiated neuroendocrine prostate cancer; Heterogeneity within metastatic lesions","Highly expressed in ~95% of prostate cancers, including castration-resistant disease, and on neovasculature of multiple solid tumors. Validated for radioligand therapy (177Lu-PSMA-617, VISION), PET imaging (68Ga-PSMA-11, 18F-DCFPyL), and emerging bispecific T-cell engagers.",Yes,1,PMID:38977769; PMID:29320333; PMID:34161051; PMID:33712536; PMID:40319443
FOLR1,Folate receptor alpha,surface,Renal/proximal-tubule FRalpha drives off-tumor uptake of folate-conjugates; Ocular AEs (keratopathy) with mirvetuximab; Expression heterogeneity demands diagnostic IHC,"Highly expressed in high-grade serous ovarian carcinoma (>35% of patients with high FRalpha), with significant expression in endometrial, NSCLC adenocarcinoma, and TNBC. Mirvetuximab soravtansine (ADC) is approved in FRalpha-high platinum-resistant ovarian cancer; multiple new FRalpha ADCs in trials.",Yes,1,PMID:37711615; PMID:38256120; PMID:40508029
FZD7,Frizzled-7,surface,Wnt-pathway essentiality in intestinal stem cells creates on-target GI risk; Multiple Frizzled paralogs complicate selectivity; Mostly preclinical -- no clinical Frizzled-7 binder approved,"Marks mammary tumor-initiating cells and is required for Wnt-driven proliferation in TNBC, gastric, and Wilms tumor models. Antibody disruption of Wnt signalling demonstrated in vivo preclinically.",Yes,4,PMID:41218118; PMID:41069407; PMID:41614739; PMID:41531533
GPC3,Glypican-3,surface_and_secreted,Cleaved soluble GPC3 sink; CAR-T cytokine release and on-target hepatic AEs in regenerating liver; Heterogeneity within HCC nodules,"Onco-fetal antigen re-expressed in ~70-80% of hepatocellular carcinomas, with additional expression in subsets of squamous lung, Wilms tumor, and yolk-sac tumors. Adult normal liver does not express GPC3, giving a strong tumor-vs-normal contrast. Active CAR-T, bispecific, and ADC programs.",Yes,2,PMID:39428649; PMID:28621802; PMID:35251989; PMID:39569202
GPRC5D,G-protein coupled receptor family C group 5 member D,surface,On-target oral / dermal / nail toxicities from hard-keratinized-tissue expression; Antigen loss on retreatment (PMID 42108083); CRS / ICANS,Lineage-restricted surface receptor on malignant plasma cells in multiple myeloma; talquetamab (GPRC5DxCD3) is FDA-approved and used as a non-overlapping target to BCMA. Included as hematologic exemplar.,Yes,2,PMID:42066212
GUCY2C,Guanylyl cyclase C,surface,"GI toxicity if normal apical GUCY2C becomes accessible (e.g., mucosal damage); Antigen heterogeneity in metastasis; Bispecific CRS","Expressed in >95% of colorectal adenocarcinomas and in metastases (which lack the apical-sequestration of normal gut), with subsets in gastric, esophageal, and pancreatic. Bispecific T-cell engagers (e.g., PF-07062119) and CAR-T (PMID 39298141) are in clinical trials.",Yes,2,PMID:31996389; PMID:35920071; PMID:32945718
HAVCR1,Hepatitis A virus cellular receptor 1 (KIM-1 / TIM-1),surface,Inducible expression in acute kidney injury -> off-target binding risk; Shed soluble KIM-1 sink; Limited normal expression tightly correlated with proximal-tubule damage,Highly expressed on the surface of clear-cell renal cell carcinoma and a subset of ovarian clear-cell tumors with shed-ectodomain biomarker utility (urine KIM-1).,Yes,4,PMID:42122167; PMID:42109566; PMID:42116184
IL13RA2,Interleukin-13 receptor subunit alpha-2,surface,Some macrophage/microglia expression in CNS tumor microenvironment; Antigen escape after CAR-T; CNS delivery constraints,"Strongly over-expressed in ~75% of glioblastomas (highest among adult CNS tumors), with limited normal CNS expression. Active CAR-T programs (e.g., City of Hope locoregional CAR-T) and IL-13 cytokine toxin (cintredekin besudotox historically).",Yes,2,
IL3RA,Interleukin-3 receptor subunit alpha (CD123),surface,Capillary-leak with tagraxofusp; Some normal HSC/basophil/endothelial expression; CRS with bispecifics,"Highly expressed on blastic plasmacytoid dendritic cell neoplasm (BPDCN), AML LSCs, and a subset of ALL. Tagraxofusp (IL3-DT) is FDA-approved for BPDCN; multiple bispecifics (flotetuzumab, vibecotamab) and CAR-T (UCART123) in trials.",Yes,1,PMID:41933267; PMID:41930880; PMID:42008504; PMID:42005217
ITGA3,Integrin alpha-3,surface,Broad normal epithelial expression; Complex multi-subunit integrin biology; No clinical-stage anti-ITGA3 binder,"Up-regulated on lung adenocarcinoma, gastric, pancreatic, and bladder carcinomas; functional driver of invasion. Preclinical antibody and CAR concepts explored.",Yes,5,PMID:41988664; PMID:41957579
ITGB6,Integrin beta-6,surface,Wound-healing avb6 induction may produce off-tumor binding in inflamed tissues; Complex multi-subunit integrin biology; No approved binder yet,"Alphavbeta6 is induced de novo on the surface of pancreatic, head-and-neck, lung, oral, cervical, and colorectal carcinomas (largely absent on normal adult epithelium). Active ADC and imaging programs; preclinical-stage CAR-T.",Yes,3,
L1CAM,Neural cell adhesion molecule L1,surface,CNS / peripheral nerve expression in adults; Cleaved soluble L1 sink; Heterogeneous expression in solid tumors,"Re-expressed on the surface of neuroblastoma, glioma, ovarian, endometrial, and a subset of GI carcinomas; City of Hope L1CAM CAR-T (developed for neuroblastoma) and antibody-drug conjugates in clinical-stage exploration.",Yes,3,PMID:41994380; PMID:41783376
LGR5,Leucine-rich repeat-containing G-protein coupled receptor 5,surface,Adult intestinal stem-cell expression -> on-target GI toxicity risk; Antigen heterogeneity; Conformation-dependent epitopes,"Stem-cell marker over-expressed on a fraction of colorectal cancer (Wnt-high tumors), gastric, ovarian, and hepatocellular carcinomas. ADC and biparatopic concepts explored preclinically.",Yes,4,PMID:42096821; PMID:42062572; PMID:41986135; PMID:42120792
LILRB4,Leukocyte immunoglobulin-like receptor subfamily B member 4,surface,Normal monocyte/dendritic-cell expression; AML lineage restriction -> off-target in non-monocytic subtypes; Antigen modulation,Surface marker of monocytic acute myeloid leukemia (M4/M5 AML) and chronic myelomonocytic leukemia with restricted normal expression on monocytes/tolerogenic DCs. IO-202 (anti-LILRB4) in phase-1 trials.,Yes,2,PMID:40919482; PMID:40763038; PMID:41200716
LY6E,Lymphocyte antigen 6E,surface,Some normal lymphocyte and intestinal expression; Limited clinical program currently; Macrophage expression complicates tumor-cell vs immune-cell targeting,Up-regulated in triple-negative breast cancer and identified as a theranostic target; drives lung metastasis via PD-L1-coupled transcription. ADC DLYE5953A explored clinically.,Yes,4,PMID:41884418; PMID:41388312; PMID:41485723; PMID:40535808
LYPD3,Ly6/PLAUR domain-containing protein 3 (C4.4A),surface,Limited current clinical program after lupartumab discontinuation; Some normal-skin and esophageal expression,"Over-expressed in NSCLC, ESCC, and other carcinomas; pan-cancer analysis identifies LYPD3 as prognostic and as a candidate ADC target (lupartumab amadotin was a clinical-stage ADC).",Yes,4,PMID:39962075; PMID:37954334; PMID:41358202
MAGEA1,Melanoma-associated antigen 1,intracellular_HLA_presented,HLA restriction; Antigen heterogeneity; Need for high-affinity TCR engineering,"Cancer/testis antigen up-regulated across melanoma, NSCLC, ESCC, ovarian, and hematologic malignancies; TCR-T (TAEST16001) and TCR-mimic antibodies in preclinical/early-clinical development.",Yes,4,PMID:41397585
MAGEA4,Melanoma-associated antigen 4,intracellular_HLA_presented,Requires HLA-A*02:01 restriction; Antigen heterogeneity; Cytokine release with TCR-T,"Cancer/testis antigen expressed in ~70-80% of synovial sarcoma, ~25% of myxoid/round-cell liposarcoma, and subsets of NSCLC, head-and-neck, esophageal, gastric, melanoma, and ovarian cancers. Afamitresgene autoleucel (afami-cel) is the first FDA-approved TCR-T therapy (synovial sarcoma).",Yes,2,PMID:36624315
MAGEC2,Melanoma-associated antigen C2,intracellular_HLA_presented,HLA restriction; Heterogeneous expression; Hypomethylation-dependent silencing on relapse,"Cancer/testis antigen up-regulated in melanoma, HCC, sarcoma, and other malignancies through DNA-hypomethylation; TCR-T and peptide-vaccine concepts.",Yes,4,PMID:42041682
MERTK,Tyrosine-protein kinase Mer,surface,Retinal photoreceptor MERTK function (retinitis-pigmentosa biology) -> on-target ocular risk; Macrophage/efferocytosis expression; Limited clinical program,"Aberrantly expressed on acute leukemia, glioblastoma, melanoma, and NSCLC tumor cells, and on tumor-promoting macrophages; preclinical CAR-T and bispecifics targeting MERTK described.",Yes,4,PMID:42007639
MET,Hepatocyte growth factor receptor (c-MET),surface,Hepatic and GI on-target effects from normal hepatocyte MET; Peripheral edema with small-molecule MET inhibitors; Antigen heterogeneity between primary and metastatic sites,"Amplification (~1-5% NSCLC), exon-14-skipping mutations (~3% NSCLC adeno), and protein over-expression define MET-addicted tumor subsets; also relevant in gastric, hepatocellular, and papillary renal cell carcinoma. Both small-molecule and antibody-based (telisotuzumab vedotin) ADC strategies are under active clinical development.",Yes,2,PMID:36441095; PMID:40681868
MMP14,Matrix metalloproteinase-14 (MT1-MMP),surface,Wound-healing / vascular MMP14 expression; Catalytic homology with other MT-MMPs requires selectivity engineering; Limited clinical program,"Surface-bound metalloprotease over-expressed on invasive carcinomas (breast, pancreatic, head-and-neck), driving ECM degradation and metastasis. Active-site mAbs (DX-2400) and ADC concepts explored preclinically.",Yes,4,PMID:42085888; PMID:41921416; PMID:42112999; PMID:42079046
MSLN,Mesothelin,surface_and_secreted,Soluble shed mesothelin acts as a sink that blunts mAb/CAR potency; Capillary-leak and pleuritis with high-affinity binders; Pleural / pericardial normal expression poses on-target risk,"Strongly over-expressed in mesothelioma (>85% of epithelioid), pancreatic ductal adenocarcinoma (~80-90%), ovarian (~70%), and subsets of cholangiocarcinoma, NSCLC, and triple-negative breast cancer, vs. very limited normal mesothelial expression. Active modalities: immunotoxins (LMB-100), CAR-T, bispecifics, ADCs.",Yes,2,PMID:32605175; PMID:40696802
MUC1,Mucin-1 (MUC1-C / MUC1-CT cleavage product accessible on tumor surface),surface_and_secreted,Soluble shed MUC1 sink; Wild-type MUC1 on normal epithelia means antibody specificity for tumor glycoforms is critical; Heterogeneous glycosylation,"Over-expressed and aberrantly glycosylated in >90% of breast, ovarian, pancreatic, NSCLC, and CRC adenocarcinomas with neoepitopes not present on normal mucin. Active modalities: CAR-T (anti-Tn-MUC1 / 5E5), bispecifics, peptide vaccines (TG4010), MUC1-C small molecules.",Yes,2,PMID:34207342; PMID:24667139; PMID:20635898; PMID:10571020
NECTIN4,Nectin-4,surface,Skin (keratinocyte) Nectin-4 drives cutaneous AEs including TEN; Peripheral neuropathy / ocular AEs with MMAE payload; Down-regulation under EV pressure (acquired resistance),"Highly and lineage-restricted expression in urothelial carcinoma (>83% strongly positive in cohort series), with additional expression in subsets of breast, NSCLC, pancreatic, and head-and-neck cancers. Validated ADC target (enfortumab vedotin) approved for advanced urothelial carcinoma.",Yes,1,
PODXL,Podocalyxin,surface,Normal podocyte and endothelial expression; Glycosylation-dependent epitope choice; No approved binder,"Cell-surface sialomucin marking aggressive renal, ovarian, pancreatic, and breast carcinomas; PODXL-high tumors are associated with poor prognosis. PR1A3 / 3D3 / PODOCAN antibodies described preclinically.",Yes,4,PMID:41276049; PMID:41199110
PRAME,Melanoma antigen preferentially expressed in tumors,intracellular_HLA_presented,HLA restriction limits eligible patients; Cytokine release with bispecific TCR; Antigen heterogeneity within tumors,"Over-expressed in cutaneous melanoma (~90%), uveal melanoma (~50%), and subsets of NSCLC, breast, ovarian, sarcoma, with germline-restricted normal expression. Brenetafusp (PRAME ImmTAC bispecific TCR) is in active trials; multiple TCR-T programs.",Yes,2,PMID:38338862; PMID:39326690; PMID:39451258; PMID:31311081
PSCA,Prostate stem cell antigen,surface,Normal prostate / bladder / pancreas expression; Heterogeneous expression in PDAC; Antigen-loss escape with CAR-T,"Up-regulated in prostate cancer (>80% of high-grade), pancreatic ductal adenocarcinoma, gastric and bladder cancers. Multiple CAR-T (CARMA, allogeneic gd-T BNT211 family) and bispecifics in preclinical / phase-1.",Yes,3,PMID:42103354; PMID:41911185
PTK7,Inactive tyrosine-protein kinase 7,surface,Normal-tissue planar-cell-polarity expression; Heterogeneous tumor expression; ADC payload toxicities,"Up-regulated in TNBC, NSCLC, ovarian, and esophageal carcinomas. Cofetuzumab pelidotin (PF-06647020) and newer PTK7 ADCs are clinical / preclinical-stage.",Yes,3,PMID:41172349
ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,surface,Embryonic / developmental expression; Heterogeneity across hematologic and solid subsets; ADC ocular AEs,"Onco-fetal surface receptor re-expressed in CLL, MCL, TNBC, ovarian, NSCLC, and pancreatic carcinomas with absent adult normal expression. Zilovertamab vedotin ADC (VLS-101) in clinical trials.",Yes,3,
SEZ6,Seizure protein 6 homolog,surface,CNS expression in normal neurons (BBB-protected but a consideration); Neuroendocrine plasticity may reduce SEZ6 in some SCLC subtypes; Calicheamicin / topo payload toxicities,Neuroendocrine-lineage surface antigen enriched in small-cell lung cancer; ABBV-011 / ABBV-706 anti-SEZ6 ADC in active development.,Yes,3,PMID:42019833; PMID:41761743; PMID:41845530
SLC34A2,Sodium-dependent phosphate transport protein 2B (NaPi2b),surface,Pulmonary alveolar microlithiasis biology -- on-target lung toxicity risk; ADC ocular AEs (XMT-1536); Heterogeneous expression in HGSOC,"Highly expressed in high-grade serous ovarian carcinoma, lung adenocarcinoma, and thyroid cancer with apically restricted normal-tissue expression. Lifastuzumab vedotin (DNIB0600A) and upifitamab rilsodotin (XMT-1536) are ADCs targeting NaPi2b.",Yes,3,PMID:40743868; PMID:41567189
SLC44A4,Choline transporter-like protein 4,surface,Limited normal-tissue profiling; No clinical-stage binder yet; Cleavage products may complicate ADC payload internalization,"Up-regulated in pancreatic adenocarcinoma where it remodels extracellular matrix and drives proliferation, migration, and invasion via PI3K/AKT; also a prognostic biomarker in colorectal cancer.",Yes,4,PMID:39456618; PMID:38644473; PMID:40859874
SLITRK6,SLIT and NTRK-like protein 6,surface,Normal inner-ear / CNS expression; Heterogeneous expression in urothelial; ADC ocular AEs,Expressed on urothelial carcinoma and a fraction of NSCLC and glioma. Sirtratumab vedotin (ASG-15ME) ADC explored in urothelial cancer.,Yes,3,PMID:30844889; PMID:41512684
SSTR2,Somatostatin receptor type 2,surface,Renal accumulation with peptide radioligand therapy; Lymphopenia / hematologic toxicity; SSTR loss in dedifferentiated NETs,"Highly expressed on well-differentiated neuroendocrine tumors (carcinoid, pancreatic NETs), pituitary tumors, meningiomas, and a subset of SCLC/MTC. Validated radioligand-therapy target (177Lu-DOTATATE; Lutathera, NETTER-1/2) and PET imaging (68Ga-DOTATATE).",Yes,1,PMID:42035386; PMID:41928014; PMID:42014536
